file_name,classification,ai_probability,explanation
discharge_summary_001.txt,human_created,0.0206,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 95.9% | Raw output: Real | Model: roberta-base-openai-detector
flawed_drug_interactions.txt,human_created,0.0335,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 93.3% | Raw output: Real | Model: roberta-base-openai-detector
flawed_future_dates.txt,human_created,0.0251,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 95.0% | Raw output: Real | Model: roberta-base-openai-detector
flawed_invalid_codes.txt,human_created,0.1808,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 63.8% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_001.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_002.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_003.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_004.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_005.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_006.txt,human_created,0.0003,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 99.9% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_007.txt,human_created,0.0008,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 99.8% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_008.txt,human_created,0.0003,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 99.9% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_009.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_010.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_011.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_012.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_013.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_014.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_015.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_016.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_017.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_018.txt,human_created,0.0003,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 99.9% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_019.txt,human_created,0.0003,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 99.9% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_020.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_021.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_022.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_023.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_024.txt,human_created,0.0007,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 99.9% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_025.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_026.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_027.txt,human_created,0.0003,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 99.9% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_028.txt,human_created,0.0004,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 99.9% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_029.txt,human_created,0.0004,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 99.9% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_030.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_031.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_032.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_033.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_034.txt,human_created,0.0002,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 100.0% | Raw output: Real | Model: roberta-base-openai-detector
office_visit_035.txt,human_created,0.0004,Detector: HuggingFace (roberta-base-openai-detector) | Strong human-written text characteristics (<20%) | Confidence: 99.9% | Raw output: Real | Model: roberta-base-openai-detector
